Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
Determinantal Point Processes for Machine Learning,"Alex Kulesza, Ben Taskar",2596.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6019/9781601986283.jpg,4.0,178.0,Paperback,2012-12-18,Now Publishers Inc,English,1601986289,9781601986283,Hanover,United States,156.0,234.0,10.0,259.0
A Simple Guide to Data Driven Technologies using Machine Learning and Deep Learning : Machine Learning for Business,George Pain,524.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9223/9781922300294.jpg,,76.0,Paperback,2019-07-24,George Pain,English,1922300292,9781922300294,,,148.0,210.0,4.0,100.0
"MLOps using Azure Machine Learning : Rapidly test, build, and manage production-ready machine learning life cycles at scale",Emmanuel Raj,1257.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8005/9781800562882.jpg,,282.0,Paperback,2021-02-12,Packt Publishing Limited,,1800562888,9781800562882,Birmingham,United Kingdom,,,,
Blueprints for Text Analytics using Python : Machine Learning Based Solutions for Common Real World (NLP) Applications,"Jens Albrecht, Sidharth Ramachandran, Christian Winkler",1409.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4920/9781492074083.jpg,5.0,350.0,Paperback,2021-01-05,"O'Reilly Media, Inc, USA",English,149207408X,9781492074083,Sebastopol,United States,178.0,233.0,25.4,680.39
"Python Programming Notebook for Computer Programmers & Developers, Python / Data Analysis / For Kids / Machine Learning / Finance : A Notebook for Python Software developers",Enavfor Editing,286.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6552/9781655292217.jpg,,112.0,Paperback,2020-01-04,Independently Published,English,1655292218,9781655292217,,,152.0,229.0,7.0,177.0
"Hands-On Unsupervised Learning with Python : Implement machine learning and deep learning models using Scikit-Learn, TensorFlow, and more",Giuseppe Bonaccorso,1451.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7893/9781789348279.jpg,4.0,386.0,Paperback,2019-02-28,Packt Publishing Limited,English,1789348277,9781789348279,Birmingham,United Kingdom,75.0,93.0,20.32,662.24
"Next-Generation Machine Learning with Spark : Covers XGBoost, LightGBM, Spark NLP, Distributed Deep Learning with Keras, and More",Butch Quinto,833.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4842/9781484256688.jpg,1.0,355.0,Paperback,2020-02-23,aPress,English,1484256689,9781484256688,Berkley,United States,178.0,254.0,19.81,714.0
"Machine Learning Beginners Guide Algorithms : Supervised & Unsupervised Learning, Decision Tree & Random Forest Introduction",William Sullivan,550.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9756/9781975632328.jpg,1.0,268.0,Paperback,2017-08-20,Createspace Independent Publishing Platform,English,197563232X,9781975632328,,,127.0,203.0,14.0,270.0
Mastering Machine Learning for Penetration Testing : Develop an extensive skill set to break self-learning systems using Python,Chiheb Chebbi,1268.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7889/9781788997409.jpg,,276.0,Paperback,2018-06-27,Packt Publishing Limited,English,1788997409,9781788997409,Birmingham,United Kingdom,75.0,93.0,14.73,480.81
"Studyguide for Probability for Statistics and Machine Learning : Fundamentals and Advanced Topics by DasGupta, Anirban, ISBN 9781441996336","Anirban DasGupta, Cram101 Textbook Reviews",1245.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4672/9781467262552.jpg,,388.0,Paperback,2012-07-31,CRAM101,English,1467262552,9781467262552,"Sim Valley, CA",United States,,,,
