Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight,Year,Month
Rule Based Systems for Big Data : A Machine Learning Approach,"Han Liu, Alexander Gegov, Mihaela Cocea",3147.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3193/9783319370279.jpg,4.0,121.0,Paperback,2016-08-23,Springer,English,3319370278,9783319370279,Cham,Switzerland,155.0,235.0,7.37,2175.0,2016,8
Big Data Analytics for Cyber-Physical Systems : Machine Learning for the Internet of Things,"Guido Dartmann, Houbing Song, Anke Schmeink",2821.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1281/9780128166376.jpg,,396.0,Paperback,2019-07-16,Elsevier Science Publishing Co Inc,English,0128166371,9780128166376,,,152.0,229.0,20.57,660.0,2019,7
Text Dependent Speaker Recognition : A Machine Learning Approach,Gujral Shruti,972.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6593/9783659396434.jpg,,72.0,Paperback,2013-06-05,LAP Lambert Academic Publishing,English,3659396435,9783659396434,,,152.0,229.0,4.0,118.0,2013,6
Exploring Zynq MPSoC : With PYNQ and Machine Learning Applications,"Louise H Crockett, David Northcote, Craig Ramsay",1963.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9929/9780992978754.jpg,,642.0,Paperback,2019-04-11,Strathclyde Academic Media,English,0992978750,9780992978754,,,203.0,254.0,33.0,1252.0,2019,4
Visual Saliency Computation : A Machine Learning Perspective,"Jia Li, Wen Gao",2209.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3190/9783319056418.jpg,3.0,240.0,Paperback,2014-05-15,Springer,English,3319056417,9783319056418,Cham,Switzerland,155.0,235.0,13.46,3869.0,2014,5
Gabor-Boosting Face Recognition : From Machine Learning Perspective,Mian Zhou,2122.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/6392/9783639214604.jpg,,256.0,Paperback,2009-11-22,VDM Verlag,English,3639214609,9783639214604,,,151.0,220.0,19.0,394.0,2009,11
Tuning Metaheuristics : A Machine Learning Perspective,Mauro Birattari,4682.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6421/9783642101496.jpg,3.0,221.0,Paperback,2010-10-28,Springer,English,3642101496,9783642101496,Berlin,Germany,155.0,235.0,12.45,361.0,2010,10
Automated Gene Function Prediction : Applying Ontology and  Machine Learning,Vinayagam Arunachalam,1317.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/6394/9783639413304.jpg,,116.0,Paperback,2012-05-18,AV Akademikerverlag,English,363941330X,9783639413304,,,150.0,220.0,7.0,189.0,2012,5
Structural Reliability : Statistical Learning Perspectives,Jorge Eduardo Hurtado,3971.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6425/9783642535765.jpg,,257.0,Paperback,2012-07-20,Springer,English,3642535763,9783642535765,Berlin,Germany,155.0,235.0,14.48,421.0,2012,7
"Python Programming : The Crash Course for Absolute Beginners - Master the Art of Python Coding for Machine Learning, Data Science & Artificial Intelligence with this Step by Step Guide + Exercises",Mike Cowley,410.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7036/9781703666076.jpg,,152.0,Paperback,2019-10-29,Independently Published,English,1703666070,9781703666076,,,152.0,229.0,8.0,213.0,2019,10
"Data Analytics for Businesses 2019 : Master Data Science with Optimised Marketing Strategies using Data Mining Algorithms (Artificial Intelligence, Machine Learning, Predictive Modelling and more)",Riley Adams,512.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9991/9781999177058.jpg,3.25,156.0,Paperback,2019-04-05,This Is Charlotte.,English,1999177053,9781999177058,,,216.0,279.0,8.0,376.0,2019,4
"Learn to Code : The Beginner's Guide to Computer Programming - Python Machine Learning, Python for Beginners, Coding for Beginners",Dave Jones,444.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5483/9781548309794.jpg,2.0,68.0,Paperback,2017-06-25,Createspace Independent Publishing Platform,English,1548309796,9781548309794,,,152.0,229.0,4.0,104.0,2017,6
Motivation and Obstacles on Adult Participation in Lifelong Learning : A Statistical Approach,"Loukas Moustakas, Persefoni Fokiali",1012.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9786/2002/9786200252371.jpg,,100.0,Paperback,2019-07-31,LAP Lambert Academic Publishing,English,6200252378,9786200252371,,,150.0,220.0,6.0,167.0,2019,7
"Learn Python : Get Started Now with Our Beginner's Guide to Coding, Programming, and Understanding Artificial Intelligence in the Fastest-Growing Machine Learning Language",Anthony Adams,627.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9140/9781914065088.jpg,,184.0,Paperback,2020-12-09,Big Book Ltd,English,1914065085,9781914065088,,,152.0,229.0,10.0,254.0,2020,12
Image Classification ( ) : Step-by-step Classifying Images with Python and Techniques of Computer Vision and Machine Learning (        Python            &#20,"Mark Magic, John Magic",1499.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0951/9781095150405.jpg,,170.0,Paperback,2019-04-18,Independently Published,English,1095150405,9781095150405,,,152.0,229.0,9.0,236.0,2019,4
"Computer Programming : This Book Includes: Machine Learning for Beginners, Machine Learning with Python, Deep Learning with Python, Python for Data Analysis",Daniel Geron,1001.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6941/9781694131003.jpg,,612.0,Paperback,2019-09-18,Independently Published,English,1694131009,9781694131003,,,152.0,229.0,31.0,807.0,2019,9
Python Programming Language for Beginners : The First Real Guide For Beginners Towards Machine Learning And Artificial Intelligence. Learn How To Develop Your First Web App In Just 7 Days With Django!,Oliver R Simpson,846.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7085/9781708521899.jpg,,232.0,Paperback,2019-11-15,Independently Published,English,1708521895,9781708521899,,,152.0,229.0,12.0,318.0,2019,11
S1 to National 4 Chemistry : Practise and Learn Cfe Topics,"Bob Wilson, Leckie",559.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/0082/9780008263645.jpg,,96.0,Paperback,2018-06-14,HarperCollins Publishers,English,0008263647,9780008263645,London,United Kingdom,192.0,265.0,5.0,240.0,2018,6
State-Space Approaches for Modelling and Control in Financial Engineering : Systems theory and machine learning methods,Gerasimos G. Rigatos,4692.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3198/9783319850047.jpg,,310.0,Paperback,2018-05-08,Springer,English,3319850040,9783319850047,Cham,Switzerland,155.0,235.0,18.03,522.0,2018,5
Artificial Neural Networks with TensorFlow 2 : ANN Architecture Machine Learning Projects,Poornachandra Sarang,1310.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4842/9781484261491.jpg,,726.0,Paperback,2020-11-21,aPress,English,1484261496,9781484261491,Berkley,United States,155.0,235.0,38.35,1139.0,2020,11
Top Trends in AI Self-Driving Cars : Practical Advances in AI and Machine Learning,Lance B Eliot,955.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692157602.jpg,,236.0,Paperback,2018-07-17,Lbe Press Publishing,English,0692157603,9780692157602,,,152.0,229.0,14.0,349.0,2018,7
Disruptive Artificial Intelligence (AI) and Driverless Self-Driving Cars : Practical Advances in Machine Learning and AI,Lance Eliot,973.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692131978.jpg,,270.0,Paperback,2018-06-03,Lbe Press Publishing,English,0692131973,9780692131978,,,152.0,229.0,15.0,399.0,2018,6
The Next Wave AI Self-Driving Cars : Practical Innovations in AI and Machine Learning,Lance Eliot,973.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5784/9780578415109.jpg,,280.0,Paperback,2018-11-06,Lbe Press Publishing,English,0578415100,9780578415109,,,152.0,229.0,16.0,413.0,2018,11
Artificial Intelligence : Understanding A.I. and the Implications of Machine Learning,Smart Reads,343.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5451/9781545128558.jpg,2.5,52.0,Paperback,2017-04-04,Createspace Independent Publishing Platform,English,1545128553,9781545128558,,,133.0,203.0,3.0,64.0,2017,4
Just Enough R! : An Interactive Approach to Machine Learning and Analytics,Richard J. Roiger,1612.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3674/9780367439149.jpg,,346.0,Paperback,2020-06-10,Taylor & Francis,English,036743914X,9780367439149,London,United Kingdom,178.0,254.0,17.78,635.0,2020,6
Claim Models : Granular Forms and Machine Learning Forms,Greg Taylor,629.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0392/9783039286645.jpg,,108.0,Paperback,2020-04-15,MDPI AG,English,3039286641,9783039286645,,,170.0,244.0,7.0,245.0,2020,4
"Artificial Intelligence : With an Introduction to Machine Learning, Second Edition","Richard E. Neapolitan, Xia Jiang",1499.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/3675/9780367571641.jpg,,466.0,Paperback,2020-07-02,Taylor & Francis,English,0367571641,9780367571641,London,United Kingdom,178.0,254.0,25.4,885.0,2020,7
Smart Agents for the Industry 4.0 : Enabling Machine Learning in Industrial Production,Max Hoffmann,2261.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6582/9783658277444.jpg,,318.0,Paperback,2020-09-27,Springer,English,3658277440,9783658277444,Dordrecht,Netherlands,148.0,210.0,18.8,460.0,2020,9
Image Quality Assessment of Computer-generated Images : Based on Machine Learning and Soft Computing,"Andre Bigand, Julien Dehos, Christophe Renaud, Joseph Constantin",1407.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/3197/9783319735429.jpg,,88.0,Paperback,2018-04-24,Springer,English,331973542X,9783319735429,Cham,Switzerland,155.0,235.0,5.59,1708.0,2018,4
AI Innovations and Self-Driving Cars : Practical Advances in AI and Machine Learning,Lance Eliot,945.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692161753.jpg,,218.0,Paperback,2018-07-24,Lbe Press Publishing,English,0692161759,9780692161753,,,152.0,229.0,13.0,327.0,2018,7
Transformative Artificial Intelligence (AI) Driverless Self-Driving Cars : Practical Advances in AI and Machine Learning,Lance Eliot,973.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6920/9780692085967.jpg,,280.0,Paperback,2018-03-09,Lbe Press Publishing,English,0692085963,9780692085967,,,152.0,229.0,16.0,413.0,2018,3
State-of-the-Art AI Driverless Self-Driving Cars : Practical Adbances in Machine Learning and AI,Lance Eliot,951.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692132173.jpg,,230.0,Paperback,2018-05-28,Lbe Press Publishing,English,0692132171,9780692132173,,,152.0,229.0,13.0,340.0,2018,5
Brain-computer Interaction : A Machine Learning Based Study and Analysis,"Sanjay Chakraborty, Debashis Das Chakladar",981.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9786/2021/9786202197397.jpg,,88.0,Paperback,2018-01-05,LAP Lambert Academic Publishing,English,6202197390,9786202197397,,,150.0,220.0,5.0,147.0,2018,1
Top Trends in AI Self-Driving Cars : Practical Advances in AI and Machine Learning,Lance B Eliot,955.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6921/9780692157602.jpg,,236.0,Paperback,2018-07-17,Lbe Press Publishing,English,0692157603,9780692157602,,,152.0,229.0,14.0,349.0,2018,7
